Timestamp,Left_Knee_Angle,Right_Knee_Angle,Leg_Separation_Angle
2025-11-26 12:53:53,178.87,179.16,51.57
2025-11-26 12:53:53,178.88,179.21,51.47
2025-11-26 12:53:53,179.62,179.17,51.66
2025-11-26 12:53:53,179.34,179.1,51.88
2025-11-26 12:53:53,179.14,178.93,51.87
2025-11-26 12:53:53,179.21,178.95,51.89
2025-11-26 12:53:53,179.15,178.91,52.19
2025-11-26 12:53:53,179.0,178.88,52.23
2025-11-26 12:53:53,179.03,178.94,52.29
2025-11-26 12:53:53,179.42,178.95,52.36
2025-11-26 12:53:53,179.33,178.9,52.41
2025-11-26 12:53:53,179.31,178.91,52.27
2025-11-26 12:53:53,179.08,178.89,52.27
2025-11-26 12:53:53,178.98,178.87,52.37
2025-11-26 12:53:53,179.45,178.87,52.39
2025-11-26 12:53:54,179.89,178.95,51.8
2025-11-26 12:53:54,179.53,178.75,52.02
2025-11-26 12:53:54,179.35,178.77,52.01
